@relation highdim-proclus-generator
@attribute att-1 numeric
@attribute att-2 numeric
@attribute att-3 numeric
@attribute att-4 numeric
@attribute class {-1.0,1.0,2.0,3.0}
@data
33.6322042897,59.6283507808,51.6513411191,81.080038105,3.0
1.50546105671,100.141807694,47.3692110565,98.0896239172,1.0
10.6257023987,100.708112078,48.9533018443,91.8651486716,1.0
40.1824006477,61.8217775424,49.5611723579,78.6531196916,3.0
80.04962595,89.9278761399,22.7477449617,29.3410802672,2.0
36.9538039171,103.700820421,52.2500514295,97.6913958729,1.0
83.2310376445,97.4270421426,48.6483435172,93.5448934758,1.0
55.8310333144,97.1522483715,48.0720259193,91.3959286425,1.0
69.9842000837,99.1263365459,49.6057303954,95.4345653548,1.0
37.1899208531,69.1801574712,32.1607009859,76.7317087407,3.0
30.8776449328,98.3767955817,50.3063968495,95.8383296561,1.0
16.7976580738,98.4128052833,52.0561803088,94.1894839655,1.0
0.612797139012,103.745240031,47.6779325341,94.8171016124,1.0
41.3149678897,99.5102152812,48.3369590297,95.2290803822,1.0
46.3573285785,101.524872846,48.2305283447,93.5860573027,1.0
74.0366830679,86.4731564099,19.4707131091,85.768192908,2.0
73.6636460087,87.7517455037,24.8540812443,86.2300573552,2.0
76.5978473362,80.7290289657,23.4219805743,10.9491621734,2.0
37.2507654291,55.4080926677,67.5868281632,79.4857639345,3.0
35.5241869962,79.8444892494,5.94265815034,79.4907385444,3.0
31.5586325593,59.7132498372,20.333816018,76.5899180847,3.0
52.632890623,94.6839997442,49.4681151046,90.3050287668,1.0
46.9463110126,103.512166826,48.1380930553,97.4376410173,1.0
77.3700466699,75.8272368924,19.2492839736,36.1286632595,2.0
81.793708806,80.1955322421,29.1393923386,36.7145801185,2.0
18.9323611443,97.8763688423,51.785956577,96.5664656294,1.0
80.3440223407,86.4287995877,25.1068700745,29.6882831749,2.0
43.2362939631,98.3370769719,45.006921938,96.5556982244,1.0
39.2712353527,66.7048463147,40.6788950993,77.2377719944,3.0
70.147566465,82.023916127,27.822054108,27.1302787266,2.0
80.0912778501,83.0684543294,24.0478092792,54.1826583,2.0
96.0791180888,97.5757617521,46.1963046688,92.8913650712,1.0
69.8208557081,91.0017641606,26.4723606176,75.2276405569,2.0
0.676911618134,101.457460239,47.5312850582,93.2777195077,1.0
37.3377254485,82.1579720661,50.9136175854,71.4573200211,3.0
84.7312763811,85.0072287076,17.8369637509,29.8433583511,2.0
69.9942740022,85.7345202622,25.3096256294,7.36957264895,2.0
76.5497594011,105.671121803,43.9387033201,96.15486879,1.0
5.78397721731,97.8799799863,49.2235656571,96.5844844383,1.0
33.6764598274,26.6671520917,57.4638792747,78.4053088658,3.0
74.92253293,99.8206763075,45.5013490373,94.4034890343,1.0
32.165631035,35.9771433745,92.7853679494,83.9676948563,3.0
83.4406516626,81.40684975,25.9068599776,71.9238720548,2.0
37.0014440517,55.2426429759,43.4242517406,71.3561403188,3.0
34.6551398323,93.3091300008,2.00726225957,76.768685496,3.0
72.9941913521,102.931791513,48.5063257017,94.5580485198,1.0
10.5465762725,98.3160230156,48.9883615146,94.8806416819,1.0
74.5431830062,93.4123795983,19.304441377,13.1955120586,2.0
70.7906975583,87.4515306214,18.8917017991,79.7705023213,2.0
69.8088795566,79.5591862028,20.7195244987,67.2493840695,2.0
53.1896138202,98.4113725831,49.5494985984,96.8897579324,1.0
72.0138177697,99.3745298573,44.7097309266,96.4079155693,1.0
95.3860411037,98.7128443985,49.6136506988,94.7481769894,1.0
38.1444409967,101.572395061,47.9512529425,96.8012462402,1.0
76.7953235433,83.3317265735,31.220393189,33.1258092545,2.0
14.1618035045,98.9652166398,52.0232356359,99.6503238022,1.0
78.0324855587,83.1681410346,24.1157360096,18.872568877,2.0
37.395145221,62.3892649057,49.6212040661,76.9018378361,3.0
38.192247508,77.8711417386,46.9499140757,79.6626867241,3.0
86.2727585687,95.7601790774,44.6301233983,94.2940176237,1.0
42.773968264,99.9952420349,47.3537316951,91.3215848573,1.0
73.4476097658,84.814732912,18.1578736147,14.2814891169,2.0
40.1651465853,101.440721455,45.2702348303,98.532699267,1.0
40.3563186196,23.6269791556,69.7284168267,75.6038834334,3.0
39.3254711507,44.5406788132,37.853605965,70.6064624363,3.0
76.8394842557,80.2741124122,22.5164257848,75.6081248467,2.0
88.1048019471,103.546902483,48.6907353285,96.2709041681,1.0
94.4312438877,106.417168792,49.3312991686,95.5914672062,1.0
71.8651104468,85.7036496187,17.7030632097,27.393509665,2.0
76.005631769,84.9504642541,25.0884704169,7.45759917117,2.0
24.9048451714,95.6211689779,46.3708416213,89.350243898,1.0
38.7688003819,32.4847699673,87.4197336573,77.5892907066,3.0
42.6169819333,9.09318661208,28.6085887403,73.5897325482,3.0
36.0968696821,97.3501083384,17.4028994134,76.4330630384,3.0
71.8185887133,94.1066922891,22.5824886585,26.539535808,2.0
36.6994864637,2.20146412864,96.9690535355,76.9467693264,3.0
76.3308028096,98.4893909023,45.4564345339,95.446819162,1.0
36.5176580093,102.512351999,49.7843492095,93.4030355661,1.0
19.6761246037,103.493980458,51.6753627689,93.1555379748,1.0
80.2557182018,82.0871186776,24.3646447843,63.0498997957,2.0
63.6163648875,82.5889761186,25.5638170457,7.63398733699,2.0
75.920700829,100.116064499,37.5226381759,95.2345244052,1.0
71.8586381167,82.2480336025,25.6046421825,55.5818425997,2.0
7.26021313645,98.2563185627,47.6513321473,96.4692579386,1.0
35.6891937283,7.58759814674,47.5815000738,78.5016798269,3.0
3.88471087909,94.4425814254,50.9970915608,98.6683606905,1.0
41.0843966583,2.44178622254,50.6282578608,75.2844869819,3.0
74.4951973267,76.5392310604,21.7904184758,6.72646642085,2.0
32.8620298921,1.93848519579,99.3596159496,73.5494208479,3.0
39.2373360314,0.735974255647,50.9645997266,74.7341534565,3.0
78.8488774696,83.652849753,25.2924773669,91.3596507505,2.0
32.4601085201,37.7560558874,99.9646533969,78.7988255017,3.0
70.5915947198,89.0975574558,25.5742288573,14.5032635462,2.0
29.6496466272,100.07575675,39.8527849488,92.7878096876,1.0
37.4701432072,98.982101777,21.6987537255,78.6176137346,3.0
79.5524530433,87.3456404166,22.3571580882,15.4102515848,2.0
39.7727358864,80.9528143909,85.6587435961,76.0424931461,3.0
16.1858452744,79.6053291464,34.9942180711,86.4634603549,-1.0
74.0111562062,85.1797676509,17.5699252779,95.258334008,2.0
0.849514572177,102.99975646,49.1251245597,94.6926715145,1.0
82.4775473286,86.9472960459,23.5208081899,9.32590924335,2.0
74.4340185135,82.9663787386,19.6103031433,28.0166919994,2.0
75.4108073129,88.3676510687,20.2255550856,57.316748653,2.0
35.3472443861,98.3498661927,48.0044117273,99.193339696,1.0
70.3901132802,97.5952675053,47.2657757927,98.8238698698,1.0
71.9159038706,81.522398399,23.3169054204,31.3022437719,2.0
27.2984750367,103.335216411,41.2470925475,93.7968694952,1.0
82.7077122049,85.7920164076,25.1277381217,25.8736208854,2.0
33.3642528285,35.7839487019,65.8886239635,77.6611504391,3.0
79.6254661075,84.6570188784,21.3318768681,55.778032032,2.0
37.5744575167,78.6700760615,92.9345788443,76.7897620181,3.0
39.2604882705,90.9075884308,99.680543168,78.0817921347,3.0
29.1590286815,97.6156399196,47.9099152794,97.9527403047,1.0
40.9725469366,94.3903498549,35.297898049,80.2707870511,3.0
86.4452631806,97.2396683419,49.3953383849,93.4646230365,1.0
70.8211767165,81.2605092645,25.3087851095,3.12516742967,2.0
71.2684006397,80.2578723402,21.5632735038,40.8031498872,2.0
78.5771325795,82.9418867972,22.5791572811,86.4531013818,2.0
49.1716432025,92.97361687,50.4634760426,92.6291724494,1.0
31.2159414795,96.9915559001,49.4539529976,95.3560493111,1.0
15.1457199701,97.8606129761,50.3511608807,97.7039307969,1.0
39.2172557599,86.940940286,94.6825759222,80.7141767897,3.0
73.3121955113,86.7726385223,19.3811625358,61.5953159617,2.0
68.0991898137,100.222014544,48.2465682706,92.8681472661,1.0
49.8449783434,104.196609185,49.4316515086,92.8482413943,1.0
34.7000108595,87.0059695768,36.7203328561,77.5128491461,3.0
32.958303182,19.5041526103,92.2550831073,79.1281055814,3.0
37.3862840645,37.0626061914,88.0346395012,75.4119291575,3.0
86.7542105828,98.5270861749,42.3807478465,92.5015871025,1.0
33.4441473994,5.64099536961,87.5729453641,78.1336489179,3.0
17.2072939999,24.351694601,36.9756688407,67.2857756205,-1.0
38.2896248638,61.9596537579,84.4805248142,75.6287507705,3.0
71.7574536017,81.9699876114,29.0028528999,27.1493282589,2.0
78.9029229625,79.7636684721,20.8922567305,2.3299942859,2.0
74.9479002715,87.4509065625,30.356254421,51.9542284992,2.0
48.0932722545,97.5061433908,54.6894668243,95.4480838792,1.0
38.7459180149,8.01401212486,64.5853417617,78.9602101744,3.0
71.3428449058,82.5437802397,22.3023516395,94.5781542099,2.0
68.8083999103,86.5011401714,22.769339636,79.4083678873,2.0
37.7020391875,80.6059966431,36.3077402462,82.4067388933,3.0
37.0445392753,17.8172026656,77.3963131989,75.9121245171,3.0
95.6126117038,94.111014624,43.9779234985,94.3757303347,1.0
70.6995387843,85.6886672264,18.8841981874,41.6318220128,2.0
72.7512856063,77.2212777992,25.7440406132,14.2779665787,2.0
66.8433075321,103.042789206,51.0761556636,98.7568701158,1.0
35.4312999859,84.1418181021,16.6155362352,76.8879890134,3.0
50.4257306666,99.9503597936,47.2719685227,96.2995704523,1.0
41.4598917079,99.9429517443,49.1810656858,92.602320332,1.0
73.8348298445,87.8337270099,24.2012603918,60.0430024691,2.0
36.068265701,104.160213379,46.4290620284,94.203506073,1.0
20.4485485935,42.7539476976,56.9890904786,41.2159600322,-1.0
37.4771376984,102.123191789,48.7303938985,96.484364207,1.0
76.8389253547,80.4796960282,25.9864347947,4.56382118164,2.0
23.7587493373,96.6669792782,46.5953254737,98.4709398597,1.0
78.0490048656,87.7931671582,26.3457017006,91.5486549413,2.0
93.1500816904,11.1934831474,2.17211880342,60.2688910474,-1.0
56.8689091107,103.362312277,44.8393090925,93.2769953026,1.0
70.7430790096,84.6822490832,27.7716068747,34.7467372015,2.0
42.0635069384,68.7344042021,98.8678618853,78.2886200801,3.0
9.22261262354,100.60275266,50.7828669793,95.6738520328,1.0
78.5678285098,83.5332325074,25.0949425652,64.0716230901,2.0
99.9352415579,95.9353567417,52.7544360599,93.5378783844,1.0
93.1459036424,94.3567350665,46.9814302975,94.1828818224,1.0
53.9812555069,102.413729162,45.3946367983,97.3865209733,1.0
64.1332199511,100.790115862,48.5166897174,91.9006683818,1.0
64.6622129811,104.364676772,48.1610975955,96.2537431096,1.0
39.1622954549,8.26481225528,56.4100041199,76.325015842,3.0
68.3315687531,76.2390430305,24.5881031568,58.0647997075,2.0
79.9871023948,86.0529950772,23.0831311541,44.5239770696,2.0
22.1201191507,93.3561241033,45.8499207429,96.7694083494,1.0
36.2137954429,80.226812556,57.9660484719,76.053027056,3.0
5.57451314466,100.426092458,51.129598445,93.3375401635,1.0
75.4367296308,89.8996494335,27.6454402396,11.1298212073,2.0
62.2953791123,27.2230539709,41.6923803753,1.50596124195,-1.0
39.0926816499,80.8508471404,73.6921269927,75.2437376757,3.0
77.0076498749,84.378889735,23.4148098603,23.042421417,2.0
13.212153813,56.7066610838,32.6039300085,41.2506623709,-1.0
72.5090756745,88.465872898,18.11110719,37.6693663092,2.0
52.8539347008,99.2887099055,49.9062130551,94.5340902753,1.0
76.1356148659,82.3000817073,27.6611870776,89.7245477079,2.0
39.4035604112,38.3782106634,81.5208908268,76.70799334,3.0
39.2619033125,88.8913693189,34.0052274561,78.0596905375,3.0
47.2183168707,98.2351218834,49.8291460175,94.8439917811,1.0
71.4200551384,90.2035211175,19.3212796466,33.9185876977,2.0
78.9091452165,80.3400977509,28.2159544615,34.942078441,2.0
73.9458054233,101.375595503,47.4070030523,96.8339137431,1.0
68.97333544,81.8325207369,25.3201784402,25.0394785175,2.0
74.1745012385,100.269954891,47.2118606047,97.7234732578,1.0
72.3169989213,87.1885774449,28.1862460591,18.8531013193,2.0
37.0290887262,19.5665672837,66.9327061679,77.7415420958,3.0
36.2924024501,2.66309833078,53.8232012058,75.3502098306,3.0
73.5604287831,88.4695089325,27.2297405953,84.9563952097,2.0
36.946875889,61.6367218217,1.09701928057,79.1006712162,3.0
80.4855989391,90.9101938078,22.3168310025,49.6320761334,2.0
75.4496210273,84.0029735173,24.975434505,74.1992494924,2.0
42.8526570737,99.6037230109,45.2492586801,97.9151291475,1.0
37.6091216443,98.8413438921,37.6324062921,78.8538062693,3.0
93.4458885373,95.7662585592,50.0248995002,93.6675289011,1.0
8.30009140068,105.284307989,51.8382309527,92.8329590495,1.0
39.9858377468,39.6701038563,49.2140480139,77.0171208698,3.0
35.2158485652,61.7492316885,60.5316465307,76.6869525527,3.0
35.2644623965,35.7516613944,67.1612023143,74.3999302563,3.0
78.480855335,81.5079907016,23.4828204913,18.0724582879,2.0
64.3224174309,100.200573788,49.850075885,96.1508137965,1.0
36.4740867601,56.5219203006,74.5428009219,76.4272047667,3.0
78.8388697698,91.7273809356,16.8071913211,61.9607045463,2.0
35.5553869031,18.2694283115,24.5204347205,72.8199692974,3.0
13.7267798858,47.9697324939,53.0181890337,89.1658130093,-1.0
2.39821872741,98.4452732742,40.6936843421,95.305048121,1.0
7.75758548871,100.195928771,45.3838379761,95.6290977359,1.0
39.4965143937,91.5748626843,55.9238770229,81.0711671649,3.0
46.1801775662,51.1158465659,58.5818296011,51.7099916981,-1.0
68.9530385786,81.4459080284,30.227846363,80.6921860487,2.0
57.2785754438,98.184548694,49.4361734727,92.5877137865,1.0
38.2663392668,98.084376694,45.0759882399,96.349661621,1.0
39.1436242951,45.7638490196,66.8595748727,77.1515975136,3.0
77.8078324748,83.3237410449,22.7117127413,76.0637949404,2.0
41.7823907598,103.388839553,49.4936342514,92.6913971474,1.0
37.3222244089,27.8911012458,42.3783210505,77.2103865608,3.0
69.3940208529,103.644433509,47.9205632001,95.5407330218,1.0
76.5437522875,78.3810058023,23.01766676,44.0365632584,2.0
2.65804511078,101.366444906,43.3012326623,94.9601466546,1.0
39.3116686814,27.6734753045,19.600888335,81.0881544085,3.0
73.5100793111,85.7460870445,20.2660011919,18.525706181,2.0
80.3509372169,103.483672826,49.3827168637,90.950196087,1.0
39.7094641299,59.712722542,11.7763366848,69.3089800414,3.0
38.2973569934,4.52089875124,48.5145538885,75.8688444022,3.0
33.4221445027,91.5986890561,88.5404897765,76.287619468,3.0
38.1060179683,61.9119628991,14.1501754296,77.673606121,3.0
39.5154600051,45.8953194837,39.335751689,75.4661886969,3.0
74.1518794786,88.6110508017,28.315705537,9.51403477744,2.0
84.7563510034,4.85795113217,31.8967965338,99.540041367,-1.0
79.5762035542,82.9360830578,25.178793418,70.7787645763,2.0
41.3297085945,57.6309199791,26.9761792841,78.5967258474,3.0
63.0422642324,93.3463837403,28.8948715076,51.82751332,2.0
27.720603344,21.5156050451,4.94563770238,62.0448010823,-1.0
84.1068529004,101.381811509,48.6381041386,96.267527571,1.0
36.1787487917,22.3858203638,29.877133291,74.5478196303,3.0
74.2222501713,82.7907064804,25.1966691831,51.9988700378,2.0
40.5633820205,57.8332177496,12.2886316687,74.1622280622,3.0
33.1510734569,15.8948213559,62.1762061482,74.7499472749,3.0
54.9487821615,98.3899842949,47.7849764284,92.6802408944,1.0
98.8054935279,94.4417072696,49.5712404832,94.5987068081,1.0
75.1328280981,84.9492514291,29.035210597,72.473261745,2.0
77.4481047427,89.4426671824,22.3778658785,42.9943943135,2.0
82.2852264114,82.8827019427,26.6076630062,3.4548920071,2.0
30.8489865723,103.201546813,43.7014812445,95.7041602338,1.0
73.3798954144,102.044967935,48.0249641031,91.9942049035,1.0
35.1694862758,101.964522125,44.6656732656,95.7305430508,1.0
67.6715230507,77.2554392229,24.0331491946,29.4925671977,2.0
