@relation SubspaceTopologicalStream

@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute class {0,1,2,3}

@data
20.67027,89.558638,15.751676,99.864881,0
59.487051,81.104376,90.794861,56.587642,1
83.32752,23.306408,93.417062,54.631272,1
53.239102,89.754716,38.319071,97.93827,0
36.012443,35.837362,90.63313,57.263018,1
40.456274,67.907889,33.204508,15.903045,2
49.832863,71.128317,92.2051,57.195221,1
23.769417,89.690321,87.182426,97.594646,0
43.240968,23.784502,22.939412,18.46872,2
21.462269,26.473695,92.653343,54.510097,1
17.216675,15.906484,94.249189,55.174592,1
22.390495,86.955239,79.456917,97.398182,0
35.786534,23.338539,21.769061,29.530436,3
35.788235,14.893757,38.259802,29.776582,3
40.263839,31.54411,16.396873,17.940782,2
66.993481,87.497514,57.757012,101.034902,0
94.999984,85.799686,36.918361,100.065905,0
37.476783,18.670607,33.50298,32.288427,3
86.313448,92.74053,93.354071,55.375358,1
83.889372,22.625909,93.035105,56.717334,1
31.701765,1.583884,91.450193,58.182249,1
28.101759,88.403941,38.876408,101.073322,0
81.552526,78.408726,93.074682,56.366523,1
40.688241,23.877278,90.802462,15.809706,2
41.861405,36.994942,92.90083,58.395779,1
41.331362,86.239521,21.96736,101.118093,0
40.341247,56.546366,45.976878,16.032221,2
54.150946,88.189214,27.88927,97.25141,0
48.31494,89.603686,10.044382,97.884806,0
1.584769,78.607199,93.761408,57.076509,1
35.936298,24.610444,29.781428,32.21056,3
79.792861,89.569292,9.699675,99.969441,0
46.559896,37.011543,91.31217,57.545409,1
41.473614,38.044357,26.106102,19.045798,2
39.977442,36.765665,24.482888,17.630751,2
4.44913,85.833611,68.926305,97.64614,0
35.940861,57.344663,43.965779,29.654809,3
40.104516,99.999637,86.922719,17.828699,2
81.039633,88.570195,43.429688,97.324747,0
37.012867,52.851085,92.134304,28.569153,3
82.099262,22.061919,93.124161,54.619137,1
38.431421,46.58898,84.46133,32.32787,3
28.029199,25.215608,92.840804,56.687595,1
36.562152,45.317265,49.875321,32.197765,3
30.260309,85.890038,15.346264,99.209887,0
24.650693,88.851039,82.5956,101.015087,0
40.217287,29.994652,48.369627,17.876203,2
98.350203,57.314624,94.496832,55.99867,1
74.830175,63.408428,94.415792,56.03908,1
90.398777,44.595603,91.258667,55.088733,1
53.057663,42.018459,94.469482,54.782924,1
73.209965,85.81235,62.313703,97.505971,0
39.595684,91.230583,73.782953,31.213512,3
20.365275,44.608489,94.398089,57.326573,1
40.115116,58.140985,94.94211,16.403548,2
39.554104,76.455086,2.561388,28.365747,3
40.135928,10.821275,24.632641,17.856585,2
42.988413,97.452903,76.457026,15.796298,2
41.999983,81.767976,16.780612,19.062433,2
31.046688,86.710197,64.310705,101.033027,0
35.972755,52.677124,39.247077,28.559361,3
45.339732,85.861793,5.187157,101.168394,0
13.178006,83.282202,91.393025,57.452175,1
99.742273,9.930836,93.793015,56.475119,1
66.213253,89.566873,62.164024,100.273909,0
37.752198,94.208498,97.993375,28.386985,3
40.107505,87.108554,70.131485,101.156366,0
47.036912,85.984874,1.974095,98.604701,0
66.452168,83.862812,92.879892,58.230387,1
35.946385,66.964893,70.64329,32.134421,3
62.874137,7.223238,91.137489,54.812947,1
25.684916,85.973152,59.71238,99.972604,0
40.457523,1.371124,86.091086,16.089788,2
52.667972,85.779185,96.608152,99.187054,0
42.764441,62.841151,10.046346,15.658279,2
59.960343,89.661175,3.603131,100.812188,0
41.428375,53.152791,48.35324,19.048564,2
35.819497,76.824964,36.739195,29.801167,3
41.793935,28.062731,12.833631,19.182081,2
40.296684,77.165936,3.570316,18.366608,2
39.718708,90.236181,12.733156,30.387956,3
39.557232,55.021537,29.641121,32.213667,3
20.802505,85.914664,18.365585,99.724736,0
40.660667,26.316822,89.67922,15.880679,2
45.575544,41.605069,94.459895,55.290757,1
39.491061,84.213163,43.772559,30.044006,3
42.874629,44.093639,4.159877,18.833554,2
16.163475,90.678591,90.653384,58.378301,1
21.242132,87.388459,74.765992,97.405882,0
51.916891,88.354612,71.844565,97.229686,0
80.634185,79.640527,91.308929,55.58179,1
61.453913,20.738611,94.354643,58.337866,1
39.546704,73.720756,64.467057,28.549952,3
85.13574,1.76882,92.94489,55.777113,1
58.23672,89.550809,30.140611,97.248627,0
66.196909,88.4421,90.786809,56.204749,1
35.76444,98.665238,28.406504,30.04943,3
64.513015,64.873962,90.750956,55.421719,1
61.478207,57.480279,93.775691,54.537923,1
35.19579,85.945183,65.746878,101.194888,0
19.363963,85.967254,11.578962,97.293294,0
48.444297,89.730862,25.738016,101.079197,0
63.707252,79.816214,91.970618,55.436079,1
80.763709,37.888685,92.979215,56.755769,1
75.858138,85.89761,92.508873,97.458717,0
3.517868,91.796583,91.676237,54.598158,1
57.29862,85.815134,53.436971,97.346339,0
74.346953,3.847162,93.576523,56.827235,1
15.550707,16.189917,91.435958,54.741987,1
39.50841,1.117692,94.897109,31.773501,3
39.27767,7.00163,94.377588,55.077014,1
88.139943,86.009972,50.802078,101.187079,0
38.44725,7.357455,26.51875,28.362644,3
17.221884,56.344765,90.676461,55.922093,1
43.529233,42.55973,34.356863,18.038055,2
40.119327,61.3901,38.385506,16.583279,2
25.566624,44.876154,92.637113,55.209801,1
66.574516,88.047455,6.258332,97.257587,0
26.640945,86.247907,18.228472,100.954571,0
35.931772,78.659664,18.508155,32.245455,3
43.748191,55.328686,14.010923,17.385576,2
11.551971,65.113057,92.615669,58.238638,1
16.60132,45.112277,94.567848,57.046596,1
39.631133,65.540843,25.116772,29.039273,3
39.646861,68.428564,6.23131,28.776371,3
44.480241,89.615622,47.142537,98.754321,0
5.524264,39.800675,91.642407,56.259539,1
40.40089,95.031137,77.540672,15.988728,2
38.194777,3.710843,55.007162,32.336412,3
41.565343,76.342789,80.056663,19.175844,2
35.734492,1.952273,5.283347,32.191988,3
23.375799,86.003066,27.499123,99.233524,0
39.624989,7.766845,27.736969,31.588749,3
99.492614,85.9365,2.215951,98.521216,0
40.572068,95.77781,80.218916,15.789151,2
36.200533,7.511076,24.630761,32.268756,3
35.874982,94.281589,31.713371,31.067204,3
39.423982,40.297631,34.772817,28.452679,3
35.839472,23.195351,27.995205,30.359173,3
17.538484,85.991784,12.926734,101.180618,0
40.101394,55.136255,82.582177,16.65459,2
40.100488,33.665872,78.266938,16.496121,2
43.104914,18.154837,14.453322,15.94925,2
82.998147,94.796736,91.489157,58.399559,1
42.040627,93.872974,98.45963,15.429421,2
26.176522,85.870416,62.484571,101.03786,0
46.264763,30.174153,90.648122,57.322632,1
35.882775,37.913944,35.16586,30.375063,3
43.371815,43.640014,86.137359,16.275741,2
99.396192,89.701237,47.168126,97.266296,0
39.541283,26.096107,25.381372,32.081744,3
40.368331,87.03575,40.99442,97.219143,0
36.86272,20.757109,21.079313,32.18967,3
43.301519,61.067281,22.254631,15.839177,2
47.165218,86.612895,92.969343,54.716925,1
43.484379,40.80045,95.530155,16.462545,2
74.116221,95.751393,94.504005,57.106085,1
35.809633,24.849578,65.989336,29.361465,3
92.422167,54.367417,91.706855,54.466575,1
87.800111,48.13899,91.186387,55.339982,1
35.9045,35.135699,46.872504,30.959325,3
39.607872,63.405578,47.643827,29.345557,3
41.272573,16.837446,32.708788,15.395154,2
39.719466,56.415891,95.965515,31.624643,3
60.878151,88.175488,35.259404,101.042994,0
36.617713,45.793955,39.740771,28.377734,3
38.319709,57.373524,4.569723,32.36042,3
30.067407,89.717482,48.361496,99.788415,0
38.577676,3.262793,20.949852,28.375008,3
41.157162,67.259326,10.951077,18.828304,2
38.054393,69.259924,73.303767,32.309536,3
42.216368,97.374637,18.900624,15.371874,2
35.723142,57.73606,38.446979,30.59989,3
13.275338,11.677074,94.491247,54.575208,1
39.630421,35.748601,70.059949,30.616944,3
43.722876,63.318388,12.852671,17.007133,2
39.159295,47.546433,94.465827,58.100727,1
35.932885,85.335497,53.078254,28.93273,3
40.733356,38.302981,3.606015,18.612984,2
32.347468,85.879864,63.972895,97.210957,0
95.626137,16.790955,90.671102,57.203427,1
40.868121,85.54446,88.394161,15.609143,2
43.624792,46.165537,53.535708,16.636168,2
35.720058,76.956952,89.36866,30.903526,3
76.114485,40.715834,94.018976,57.559106,1
58.325183,71.462138,94.43045,58.173038,1
59.3976,87.610137,63.59913,101.000352,0
38.178085,21.893409,37.498293,28.493013,3
17.37072,7.246557,91.775388,58.067521,1
11.304017,89.70896,72.31418,100.401467,0
86.244911,38.38144,94.459387,54.756784,1
37.975335,65.596602,71.372395,32.314333,3
61.799262,92.828451,93.501542,54.880125,1
35.733587,87.84931,58.451136,30.524892,3
43.668134,58.780784,90.305057,17.191632,2
46.01582,86.445763,93.433652,54.520505,1
78.419363,85.880268,5.783755,97.265491,0
43.604015,50.296085,64.980192,16.930423,2
42.901627,85.96413,12.020408,98.443098,0
39.926653,19.207658,4.3306,17.009901,2
